QueryName,FG,Type,Query
a_h_ketones.qry,A_H_KETONES,FG,a_h_ketones
acetal.qry,ACETAL,ANTIFG,acetal
acid_chlorides.qry,ACID_CHLORIDES,ANTIFG,acid_chlorides
aldehydes.qry,ALDEHYDES,FG,aldehydes
alkene.qry,ALKENE,ANTIFG,alkene
alkene_activated.qry,ALKENE_ACTIVATED,ANTIFG,alkene_activated
alkene_non_activated.qry,ALKENE_NON_ACTIVATED,ANTIFG,alkene_non_activated
alkyl_sulfur_pyrimidine.qry,ALKYL_SULFUR_PYRIMIDINE,ANTIFG,alkyl_sulfur_pyrimidine
alkynes_internal_non_activated.qry,ALKYNES_INTERNAL_NON_ACTIVATED,ANTIFG,alkynes_internal_non_activated
alkynes_terminal.qry,ALKYNES_TERMINAL,FG,alkynes_terminal
amidines.qry,AMIDINES,ANTIFG,amidines
amidines_primary.qry,AMIDINES_PRIMARY,FG,amidines_primary
amides_secondary.qry,AMIDINES_SECONDARY,FG,amides_secondary
amines_aliphatic_primary.qry,AMINES_ALIPHATIC_PRIMARY,FG,amines_aliphatic_primary
amines_aliphatic_secondary.qry,AMINES_ALIPHATIC_SECONDARY,FG,amines_aliphatic_secondary
amines_aromatic_primary.qry,AMINES_AROMATIC_PRIMARY,FG,amines_aromatic_primary
amines_aromatic_secondary.qry,AMINES_AROMATIC_SECONDARY,ANTIFG,amines_aromatic_secondary
amines_heteroaromatic_primary.qry,AMINES_HETEROAROMATIC_PRIMARY,FG,amines_heteroaromatic_primary
arylbromide.qry,ARYLBROMIDE,FG,arylbromide
aryliodide.qry,ARYLIODIDE,FG,aryliodide
azide.qry,AZIDE,FG,azide
boronics.qry,BORONICS,CALCFG,boronics
boronics_aliphatic.qry,BORONICS_ALIPHATIC,ANTIFG,boronics_aliphatic
boronics_aromatic.qry,BORONICS_AROMATIC,FG,boronics_aromatic
phenols.qry,PHENOLS,FG,phenols
thiophenols.qry,THIOPHENOLS,FG,thiophenols
carboxylic_acids.qry,CARBOXYLIC_ACIDS,FG,carboxylic_acids
dicarbonyl_imide.qry,DICARBONYL_IMIDE,ANTIFG,dicarbonyl_imide
disulfide.qry,DISULFIDE,ANTIFG,disulfide
